epoch,lr,train_loss,val_loss,train_regression_mse,val_regression_mse,train_stress_mse,val_stress_mse,train_branch_loss,val_branch_loss,train_branch_accuracy,val_branch_accuracy
1,0.001,0.3953284010887146,0.16659549903869628,0.29155660450458526,0.10749520725011825,9.593843547821045,3.2597397079467774,1.0377179679870605,0.5910028586387635,0.6647500004768372,0.8539999866485596
2,0.001,0.12493327987194061,0.09168283879756928,0.08360027277469635,0.06528440481424332,2.4851309385299682,1.869696578025818,0.4133300468921661,0.26398431730270383,0.89925,0.9319999871253968
3,0.001,0.0784428893327713,0.0718099536895752,0.05701973542571068,0.05608335000276565,1.5946587438583375,1.502971061706543,0.21423152899742126,0.15726602268218995,0.9475000004768371,0.9699999876022339
4,0.001,0.06502499729394913,0.060104570865631105,0.051339583337306975,0.04922541430592537,1.4062496767044068,1.3064122200012207,0.13685414445400237,0.10879155451059341,0.9622500004768372,0.9699999876022339
5,0.001,0.05735748919844627,0.057643092572689056,0.047494978785514834,0.049306162476539614,1.2670819234848023,1.3119379386901855,0.09862509727478028,0.08336930096149445,0.9737500014305115,0.975999960899353
6,0.001,0.05399173802137375,0.05793921190500259,0.046515102207660676,0.05051420038938522,1.2436691637039186,1.3457822551727294,0.07476635196805001,0.07425011551380158,0.9780000004768371,0.9759999852180481
7,0.001,0.05109456035494804,0.05388714882731438,0.04525143975019455,0.04807621395587921,1.20657270526886,1.3142151517868041,0.05843120288848877,0.05810935598611831,0.9825000009536743,0.9859999852180481
8,0.001,0.05105371165275574,0.05419657549262047,0.04540362524986267,0.0482339725792408,1.2185684614181518,1.2881698722839356,0.05650086611509323,0.05962602895498276,0.9802500004768372,0.9799999876022338
9,0.001,0.04768189856410027,0.04940874180197716,0.042826818853616715,0.04322759073972702,1.1301896991729736,1.1346476497650146,0.04855079600214958,0.06181152188777923,0.9865,0.9819999804496765
10,0.001,0.046359266519546506,0.04967337769269943,0.042588251173496246,0.04466555535793305,1.1235475282669067,1.210229790687561,0.03771015439927578,0.05007821762561798,0.9890000004768371,0.979999960899353
11,0.001,0.04787816673517227,0.051007999807596204,0.043980114489793776,0.046198695629835126,1.1721808223724366,1.2062088012695313,0.03898052376508713,0.04809304741024971,0.9862499995231628,0.9819999852180481
12,0.001,0.046334680676460266,0.04899812462925911,0.0429029443860054,0.04391229373216629,1.1357701616287232,1.2116358575820922,0.034317368268966676,0.050858294069766996,0.9895000009536743,0.979999960899353
13,0.001,0.04452082079648972,0.051082733720541,0.0412208516895771,0.046312875181436536,1.0895087804794312,1.2199991416931153,0.03299969111382961,0.04769858920574188,0.9892500004768372,0.9819999876022338
14,0.001,0.044921795070171355,0.05339596757292747,0.04138061463832855,0.046953306794166566,1.084926016807556,1.3011748542785644,0.035411802500486374,0.0644266117811203,0.9865000004768372,0.9779999876022338
15,0.001,0.0449419524371624,0.048275543212890626,0.041930262148380276,0.0440100604891777,1.1114547863006592,1.149988003730774,0.03011690503358841,0.042654819786548615,0.9909999995231629,0.9819999852180481
16,0.001,0.046262455344200135,0.05134151515364647,0.04346390768885613,0.04735554298758507,1.1689812736511231,1.2564827308654785,0.027985476642847062,0.03985972893238068,0.9912500004768372,0.9819999852180481
17,0.001,0.045423908263444904,0.048952121317386625,0.043229406237602234,0.04449123629927635,1.1533052396774293,1.1823273782730102,0.021945020869374277,0.044608838826417925,0.9915000014305114,0.9859999828338623
18,0.001,0.04550072357058525,0.05164812970161438,0.043320754319429396,0.0466996437907219,1.1510515689849854,1.2665460224151612,0.021799692690372467,0.049484866738319394,0.9932500014305115,0.9799999828338624
19,0.001,0.043719789713621136,0.048174092769622805,0.04156693935394287,0.04487180927395821,1.092048496246338,1.2223247890472413,0.02152850243449211,0.0330228254199028,0.9934999995231628,0.9899999804496765
20,0.001,0.042899487406015395,0.04756019794940949,0.0410202676653862,0.04400844132900238,1.0872780685424805,1.1407760715484618,0.018792199350893497,0.035517560571432114,0.99375,0.9899999804496765
21,0.001,0.04234132891893387,0.04719947335124016,0.040738504499197005,0.04299870565533638,1.0752568454742433,1.11444380569458,0.01602824352681637,0.04200767478346824,0.9955000014305114,0.9839999780654908
22,0.001,0.040737107276916505,0.04737625709176064,0.0394225172996521,0.042814064860343934,1.0262845611572267,1.1125892457962037,0.013145898930728435,0.045621937215328215,0.9967500014305115,0.9839999852180481
23,0.001,0.040789672553539276,0.04746346989274025,0.03906821373105049,0.04400518599152565,1.0184142990112304,1.1210187091827393,0.017214587099850177,0.03458284009993076,0.9942500014305115,0.9879999780654907
24,0.001,0.04272263720631599,0.049158553451299665,0.03996115684509277,0.043990524142980575,1.0497466869354248,1.1495615558624268,0.027614802077412605,0.05168028536438942,0.9900000014305115,0.9779999852180481
25,0.0005,0.042765969693660734,0.04779390490055084,0.04004681780934334,0.042694550812244415,1.057619122505188,1.121266556739807,0.027191518731415273,0.050993550151586534,0.9895,0.9799999852180481
26,0.0005,0.03911765220761299,0.04277427682280541,0.0374270601272583,0.03980048853158951,0.967581120967865,1.0388954591751098,0.01690592569112778,0.029737884640693664,0.9952500004768372,0.9899999780654907
27,0.0005,0.03737117657065391,0.042503605067729947,0.0363560519516468,0.039230828672647475,0.9371342582702636,1.0112719445228577,0.010151249334216118,0.03272776240110397,0.9982500014305115,0.9899999780654907
28,0.0005,0.03672876280546188,0.041387840807437896,0.03579440331459045,0.038176888436079026,0.9197110133171081,0.9996063652038574,0.00934359371289611,0.032109531983733175,0.9985,0.9899999780654907
29,0.0005,0.0361473588347435,0.04176300099492073,0.03541290676593781,0.038183872282505034,0.910441611289978,0.9735693955421447,0.0073445245325565334,0.03579129111766815,0.99875,0.9879999804496765
30,0.0005,0.03594764336943626,0.04171753966808319,0.035307006120681765,0.03822050395607948,0.9028565058708191,0.9928032050132751,0.006406372044235468,0.03497034966945648,0.99875,0.9819999852180481
31,0.0005,0.03566540652513504,0.041213469684123996,0.03513062584400177,0.03807835566997528,0.898391954421997,0.988592405796051,0.005347811125218868,0.03135112723708153,0.999,0.9879999804496765
32,0.0005,0.03589431938529015,0.04230460721254349,0.035265391498804095,0.03886259907484055,0.9057582740783692,0.9910624551773072,0.006289278242737055,0.03442008864879608,0.9985,0.9879999804496765
33,0.0005,0.0361497977077961,0.041309317588806155,0.03555051761865616,0.03813364905118942,0.9120274276733399,0.9872927241325379,0.005992798417806625,0.03175669160485268,0.99875,0.9859999828338623
34,0.0005,0.03600393763184547,0.041830852389335635,0.03554791286587715,0.03878606560826302,0.9076550216674805,1.0107324113845826,0.004560250166803599,0.03044786322116852,0.9995,0.9899999804496765
35,0.0005,0.036362038761377335,0.040608226239681244,0.03587973234057427,0.037890020489692686,0.9195807147026062,0.9808355422019959,0.00482306370139122,0.027182058677077292,0.9987500014305115,0.9919999780654907
36,0.0005,0.03638355776667595,0.04341004475951195,0.035684003800153734,0.03894478425383568,0.9175434956550598,1.016216161251068,0.006995538756251335,0.04465261232852936,0.9980000014305115,0.9839999828338623
37,0.0005,0.03582073837518692,0.041501037299633024,0.03538508039712906,0.03844034853577614,0.9084059009552002,0.9993906016349793,0.004356580637395382,0.030606890365481376,0.9995,0.9919999780654907
38,0.0005,0.035775495916605,0.04226873904466629,0.035365220576524733,0.03803951171040535,0.9051732282638549,0.9873958086967468,0.004102748343721032,0.042292279571294784,0.9995,0.9839999852180481
39,0.00025,0.036084582090377806,0.04230480134487152,0.03546200841665268,0.03835892513394356,0.9084966840744019,0.9982250208854675,0.0062257350087165835,0.0394587510228157,0.9982500004768372,0.9839999828338623
40,0.00025,0.03547000762820244,0.041184250473976135,0.03484260794520378,0.037325497359037396,0.8918969445228576,0.9573784894943237,0.006273991618305445,0.03858754041790962,0.998,0.9859999804496765
41,0.00025,0.03501000007987022,0.040637932419776916,0.03449290877580643,0.03720921215415001,0.8812597856521607,0.9642053546905518,0.005170916216447949,0.03428718948364258,0.99875,0.9879999804496765
42,0.00025,0.03488098615407944,0.04058169734477997,0.0345273197889328,0.037483112394809726,0.8846484379768371,0.9638170285224914,0.0035366605240851642,0.030985855773091316,0.999,0.9899999780654907
43,0.00025,0.03463558542728424,0.04020188468694687,0.03441856560111046,0.03690360650420189,0.8771355752944946,0.9449829411506653,0.0021701961923390627,0.03298278737068176,1.0,0.9859999780654907
44,0.00025,0.03439735367894173,0.040142275542020794,0.034174561619758605,0.03704130265116692,0.8712319617271423,0.9520489997863769,0.0022279169764369724,0.031009727641940116,1.0,0.9919999756813049
45,0.00025,0.03441311699151993,0.04008760330080986,0.03419751292467117,0.036978179991245266,0.8715923895835876,0.945149941444397,0.002156041675247252,0.031094226464629175,0.99975,0.9879999756813049
46,0.00025,0.03427260306477547,0.04002510863542557,0.0340752577483654,0.03696474725008011,0.8681071286201477,0.9491311054229736,0.0019734502425417305,0.030603620395064354,1.0,0.9899999756813049
47,0.00025,0.03425605767965317,0.039807662576436996,0.03407445120811462,0.03695029726624489,0.8680245132446289,0.9476825757026672,0.0018160629733465611,0.028573649644851686,1.0,0.9919999756813049
48,0.00025,0.03428393280506134,0.039680154263973234,0.03410781589150429,0.03675758752226829,0.868773612499237,0.9435984077453613,0.0017611683229915797,0.02922565905749798,1.0,0.9919999756813049
49,0.00025,0.0342076156437397,0.03981933894753456,0.0340132175385952,0.03674606144428253,0.8666422333717346,0.943546890258789,0.001943982692435384,0.030732775583863257,1.0,0.9919999756813049
50,0.00025,0.03419874599575996,0.039711855351924896,0.034016328305006026,0.03677215853333473,0.8667629098892212,0.9451927137374878,0.0018241763086989523,0.029396958097815513,1.0,0.9899999780654907
51,0.00025,0.0342958869934082,0.039987231880426403,0.03413485887646675,0.03701325836777687,0.8691097903251648,0.9486695919036865,0.0016102812150493265,0.029739742621779443,1.0,0.9919999756813049
52,0.000125,0.03417221161723137,0.0398850285410881,0.03401297643780708,0.03687886521220207,0.8660612754821777,0.9446038393974304,0.0015923520643264055,0.03006163492798805,1.0,0.9919999756813049
53,0.000125,0.03408292677998543,0.03972360062599182,0.0339360004067421,0.03650332632660866,0.8640942058563232,0.93272678232193,0.0014692646805197001,0.03220273953676224,1.0,0.9899999780654907
54,0.000125,0.033925602614879605,0.039278416067361835,0.033765790849924086,0.03640784096717835,0.8592644162178039,0.933420530796051,0.0015981220565736295,0.02870573991537094,1.0,0.9919999756813049
55,0.000125,0.03386366581916809,0.03931009006500244,0.033722411513328554,0.03647379910945892,0.8585960369110107,0.9329153819084167,0.0014125405233353376,0.028362920552492142,1.0,0.9919999756813049
56,0.000125,0.03384407398104668,0.03946345853805542,0.03369167298078537,0.03646615305542946,0.8581494665145875,0.9337508692741394,0.001524008478038013,0.02997305750846863,1.0,0.9919999756813049
57,0.000125,0.03384952655434609,0.039406410813331606,0.03371098572015762,0.036386336088180544,0.8576346549987793,0.9360410828590393,0.0013854062147438525,0.03020072953402996,1.0,0.9919999756813049
