epoch,lr,train_loss,val_loss,train_regression_mse,val_regression_mse,train_stress_mse,val_stress_mse,train_branch_loss,val_branch_loss,train_branch_accuracy,val_branch_accuracy,lbfgs_phase
1,5.0937500000000005e-05,1.3603150789047413,1.2207968035156604,1.2765156140580967,1.1374515466336628,116.89439237631332,103.54609222296702,1.6759896081521282,1.6669053682745383,0.1964167529950542,0.20912643235102135,0
2,0.00010087500000000001,0.36756480972067945,0.14788259929483932,0.3048235010733159,0.10513366335061644,25.237604193891663,7.38497133494235,1.2548261536876695,0.8549786592798126,0.4990072786096087,0.765410306443787,0
3,0.0001508125,0.10634310658473928,0.08090545527837052,0.07618665158897023,0.05735481258157252,5.243032227777923,3.796068263898412,0.603129094613496,0.4710128808643664,0.8162207287013303,0.852010585404308,0
4,0.00020075,0.07598009718340362,0.06761915003417134,0.05624622551001763,0.050789876662210694,3.637766799054863,3.1090294246067693,0.39467741613774115,0.3365854232222289,0.8741924291539006,0.9015504774253275,0
5,0.0002506875,0.0672873041725291,0.062831005834059,0.05269990183758426,0.05034285646646212,3.3951286804115908,3.2278616119419867,0.2917480173835587,0.24976297006335968,0.9144054700381471,0.9304172472771669,0
6,0.00030062499999999995,0.06291704681960507,0.05613611309877053,0.05208632813342835,0.046947792807792814,3.363951578099985,2.919654193898851,0.21661437229310557,0.1837663986122234,0.9408464896581622,0.9475608175479793,0
7,0.0003505624999999999,0.05820426446318792,0.05935191255700058,0.05040301848205879,0.05275308921534958,3.188213804014534,3.5202875561391394,0.15602491769295945,0.13197646395910376,0.956115469542668,0.959410058817917,0
8,0.00040049999999999987,0.058013133052023304,0.052470981402748335,0.051937775625862395,0.04718700042714105,3.3339498926526203,2.9598248529356064,0.12150715093982573,0.10567962046260418,0.9627178448342281,0.9688642418626487,0
9,0.00045043749999999983,0.054410738989488686,0.05279253563153012,0.04949738079341115,0.04857786274158788,3.142679580344227,3.1945806337337572,0.09826716223236728,0.08429344528510023,0.9692887066874366,0.9730240678510734,0
10,0.0005003749999999998,0.05186700268334015,0.0507440317751337,0.04748468270389091,0.046221376140669436,3.0011713927664716,2.735188434001673,0.08764639670065501,0.09045309971158176,0.9703444568555079,0.966343126748709,0
11,0.0005503124999999998,0.05061423900092209,0.05243731306396922,0.046830668289025705,0.04929861618558335,2.9688093294088556,3.2694170610850297,0.07567141772125195,0.06277393469380112,0.974567456152778,0.980209247215119,0
12,0.0006002499999999998,0.04945364221120428,0.048231168834758587,0.04625371935936769,0.04396193226303712,2.8738184791061943,2.9412602802761323,0.06399846016855389,0.0853847254208068,0.9781128849358373,0.9638220108533648,0
13,0.0006501874999999997,0.047871422202558724,0.05472111261204274,0.044808118647298265,0.05009059230945502,2.793394667543768,3.2732230107360207,0.06126606798559706,0.09261041133562764,0.9787116690778412,0.9623093428398973,0
14,0.0007001249999999997,0.0462430112560731,0.04546520025050837,0.04348433745201918,0.04297258114996585,2.681034726434747,2.7478623752048215,0.055173477509981,0.04985239344124128,0.981028014474247,0.9833606409121924,0
15,0.0007500624999999996,0.05103610289396067,0.053379512652257016,0.047228690824052844,0.050512328192631115,3.0450678199378434,3.121326734480815,0.07614823779155987,0.057343695791724436,0.9729286796194377,0.9819740264664889,0
16,0.0008,0.05149757310300563,0.054810484201861825,0.048141971930928625,0.049952094585781634,3.1027787503681927,3.131960338472073,0.06711202237177089,0.09716781058318075,0.9757335076379128,0.9633177889636136,0
17,0.0007999786678071546,0.05071608112035298,0.05444328765764402,0.047478970741318176,0.049886998570549165,3.0809860224683394,2.8655326699122616,0.06474220576366169,0.09112578848526906,0.9771044073090281,0.9653346792575346,0
18,0.0007999146735067785,0.04859332566645469,0.04520368432494876,0.045382614397629,0.04290084458007558,2.8905565502596176,2.8615860874710264,0.06421422430827084,0.04605679116090324,0.9763638066120676,0.9852514760755402,0
19,0.000799808023933108,0.0449554008285244,0.046233042810226346,0.04225910775590501,0.042771359154484725,2.629361402788944,2.6431082260348706,0.05392586073412092,0.06923367744824722,0.9805237763577422,0.9722677458208686,0
20,0.0007996587304757267,0.044229205816585945,0.0424048516556074,0.04199250542501584,0.040611109102879045,2.6011531246902777,2.503884719867627,0.04473400759401482,0.035874861865563275,0.9840849632199647,0.988024702232031,0
21,0.0007994668090783484,0.04378826526430646,0.04991349757429587,0.04119181168810651,0.04766021283515071,2.539758418060259,2.6827723641842174,0.05192906803456967,0.045065705118670106,0.9797674189528764,0.9846211976877576,0
22,0.0007992322802371143,0.04743363708363337,0.04948956384263077,0.0448706979742392,0.0455751565092376,2.8901403315680185,2.6805810223878384,0.05125878184095989,0.07828814978502925,0.9809334710334755,0.9678557947621765,0
