epoch,lr,train_loss,val_loss,train_regression_mse,val_regression_mse,train_stress_mse,val_stress_mse,train_branch_loss,val_branch_loss,train_branch_accuracy,val_branch_accuracy,lbfgs_phase
1,8.425e-05,1.3266875672522978,1.2480455690624583,1.2421989843917574,1.1634437567226286,108.51119829646534,101.2846109699695,1.6897717494908397,1.6920356624261377,0.16592606581896163,0.16046892815808037,0
2,0.0001675,0.4173166880731657,0.17550744284984518,0.34781289305020785,0.12410242885790722,28.76865201151032,8.975890817429429,1.390075881175136,1.0281002778927615,0.43068292692018606,0.6870036525803257,0
3,0.00025075,0.1182125923316101,0.0833070932162089,0.08213454621713179,0.05688576787836041,5.784990288225395,3.6037050674801048,0.7215608982455888,0.5284265178112159,0.776811319820099,0.8299508297201454,0
4,0.000334,0.07862801206289984,0.06922052919180925,0.05771847095667221,0.05210904880172891,3.7812070745122086,3.4093218040273965,0.4181908119955574,0.3422295385571336,0.8678736872295995,0.8990293632881436,0
5,0.00041725,0.0686694456987046,0.06095919439978367,0.054256685420841194,0.04902219101523641,3.4970165991256428,3.187747690846847,0.2882552069999069,0.23874005712319876,0.9172418124510975,0.9328122949909776,0
6,0.0005005,0.06042212524612538,0.05668528457652962,0.05049826032512465,0.048479650979660865,3.183020558374821,3.048438943260392,0.19847729264335498,0.16411264934238354,0.9478743171993196,0.9565107761633947,0
7,0.00058375,0.06227579846013611,0.06016852875442894,0.055011625655000375,0.053686663429993,3.609421427568266,3.801488177827128,0.14528345226788814,0.12963732307008788,0.9598657457359138,0.9609227280034914,0
8,0.000667,0.057043287659695616,0.0653129007160611,0.05118154872449861,0.05989867219034351,3.3130219637744647,3.923199306321177,0.11723478135793518,0.1082845926453844,0.9669881168530902,0.9624353969937147,0
9,0.0007502499999999999,0.055778094021350054,0.05340313509089731,0.051004751074225266,0.049006537498020364,3.2926055258504796,2.8855771362353253,0.09546685294676359,0.08793195667745306,0.9709117252092373,0.9686121294526394,0
10,0.0008334999999999999,0.05241557396144132,0.05366505407943681,0.04816541095206993,0.04978258811246398,3.075270812948969,3.334286318500932,0.08500326187661118,0.07764932150616406,0.9724874714828117,0.9727719568085222,0
11,0.0009167499999999999,0.048492180263187266,0.046687984875005716,0.044934455090961424,0.04347454392046326,2.8078102064284467,2.776115367019761,0.07115450067030207,0.0642688159736832,0.9768838028528182,0.9783184089261527,0
12,0.001,0.04972386626272361,0.04577220459376505,0.04640429625091884,0.04297737970095436,2.918114945701502,2.7219935683994927,0.06639140240310597,0.055896513719103695,0.9765213813588935,0.9842430311239309,0
13,0.0009999525835891743,0.04852113413066306,0.050198133229518105,0.044933495134686266,0.04665552219851432,2.842076870507813,2.8946231567707876,0.07175278450315394,0.07085222591521925,0.9744571538795904,0.9722677331606107,0
14,0.0009998103433589633,0.04830760103327095,0.04572006392757694,0.04517166138175253,0.04310701151406511,2.8433818438671437,2.5786181051013117,0.06271879422798857,0.052261061844794336,0.9781128842502081,0.986890200391688,0
15,0.0009995733063144568,0.04803095601558017,0.04437198667457947,0.04518433327363008,0.04151103017434006,2.806755390196089,2.5283909853809377,0.05693245699380236,0.05721913179535065,0.9802874139125338,0.9779402417762725,0
16,0.0009992415174584414,0.04536207992537609,0.045459495897977875,0.04250922573498539,0.04281079969322502,2.6525955882818866,2.6163413946285656,0.05705708775980804,0.052973923254953,0.9791843930252832,0.9794529117432516,0
17,0.0009988150397828557,0.04619657368842425,0.04403795737697575,0.04361597705604389,0.04177013311530894,2.718239362757309,2.4556205606875317,0.0516119286696674,0.04535649425377014,0.9815795255696896,0.9837388068899657,0
18,0.0009982939542568317,0.042746303420433916,0.0458052237496413,0.04024687807312333,0.0403171853329876,2.4565176629219176,2.426794678510009,0.04998851164699724,0.10976075486887092,0.9822570965572661,0.9657128436724987,0
19,0.0009976783598113215,0.04619427798364898,0.04331283590871525,0.042987533765320655,0.0409465550908627,2.7112841253971003,2.5152123037208662,0.06413488990889124,0.047325620922445126,0.9763953221974712,0.9843690876219622,0
20,0.0009969683733203158,0.04411043387090355,0.04268666302329067,0.0419386360943524,0.040102365560201324,2.612696724239139,2.6361055433652476,0.04343595672406437,0.05168594086074775,0.9847782914883693,0.9775620765799038,0
21,0.0009961641295786541,0.04166530607691039,0.0399412489215002,0.03976015920020056,0.038205854651997974,2.427070635167775,2.1593771605658136,0.038102935317759705,0.03470789704114465,0.9865273696768916,0.9889070930298228,0
22,0.000995265781276433,0.04775883756759473,0.04589441684954602,0.04526748821749357,0.04268386696446412,2.9173388840297054,2.5735447490920067,0.04982698742737126,0.0642109995147409,0.9806183217877772,0.9749149061400397,0
23,0.0009942734989700176,0.04406500802381863,0.045258524651678726,0.04150180035974841,0.04154213640421392,2.614278132711649,2.8529399042996273,0.0512641520822579,0.07432777576029233,0.9807286239707997,0.9692424084264755,0
24,0.00099318747104966,0.04467564864623412,0.04270181704637052,0.04179743197766093,0.04035262418301563,2.6460672487834946,2.5634283123860273,0.0575643265067203,0.046983863888844915,0.9777347059356724,0.9829824727855564,0
25,0.0009920079037037328,0.04178682188304301,0.03973372280550727,0.03972756500747993,0.03799225551028217,2.479145967168785,2.179331578298338,0.04118514089191748,0.03482934555089761,0.9852825289417864,0.9896634285016903,0
26,0.000990735020879583,0.03915918473953698,0.044350802813880034,0.03755024051863308,0.041607338589515507,2.2705005422473565,2.2851748353789105,0.03217888566970333,0.05486927270329526,0.9889382599529507,0.9807134679327633,0
27,0.0009893690642410137,0.04478855981907668,0.04470079161060513,0.04144825044346556,0.04251345007584207,2.61868215179786,2.7771703791801676,0.0668061858398275,0.0437468411413828,0.9775928878742103,0.9848733095117134,0
28,0.0009879102931224042,0.040664957976272495,0.03807752072429816,0.03877199887780894,0.03646725479062127,2.374934440766494,2.1659751851156264,0.037859178609982384,0.03220532371416138,0.9861807048232484,0.9884028695772624,0
29,0.0009863589844794727,0.038785215820947516,0.04228540349291039,0.03722179733529757,0.04007528265136331,2.2472267382452467,2.4944941696987826,0.031268373273221704,0.04420242487837639,0.9890643202376777,0.9834866956520634,0
30,0.0009847154328366955,0.04015676673164903,0.04046080969522929,0.0384333582488683,0.03813957993059009,2.354720708405779,2.3302926707956,0.03446816377399744,0.04642459624324247,0.9871261525152611,0.9826043040728668,0
31,0.0009829799502313896,0.03898380913251509,0.03940105449127006,0.037287745571245236,0.03773111257066751,2.250827804799979,2.174461888647855,0.03392126906754401,0.033398856076773606,0.9874097868161026,0.9882768144466891,0
32,0.0009811528661544705,0.03965150215543412,0.04018299707988615,0.03798379674755803,0.03798412384255663,2.314792079962505,2.180573413430044,0.03335410443833648,0.04397744503678522,0.9873310001508598,0.9836127503919343,0
33,0.0009792345274878974,0.041558615303901564,0.04230649955312421,0.039238790097051154,0.03990395418613056,2.4191011852713307,2.2513733447221673,0.046396504627045095,0.04805091143003797,0.9818789186804058,0.9822261378997423,0
34,0.000977225298438814,0.03976506363768495,0.03811845805584731,0.037638445287972944,0.036723029591611785,2.2957196927897883,2.2568169194032395,0.042532371126564036,0.02790857600554172,0.9845104139630566,0.9913021532085404,0
35,0.0009751255604704041,0.038814967207319216,0.041695278622543436,0.03743531917111515,0.04008932845622628,2.263312725440602,2.5454719528850775,0.02759295765313226,0.03211899227773228,0.990072797111234,0.9870162561083147,0
36,0.000972935712229467,0.04013965455307725,0.03966983062255417,0.03811712943808539,0.037409216659086045,2.3366563907734617,2.2523881277971305,0.04045050072400568,0.045212282386528475,0.9845734431671415,0.9798310783070784,0
