name,n_samples,max_abs_principal_strain,width,depth,epochs,stress_mae,stress_rmse,stress_max_abs,principal_mae,branch_accuracy,triaxial_principal_mae,dataset_stress_q99,dataset_stress_q100
baseline_uncapped_small,1000,,128,3,12,186835169263940.75,271382229871618.06,1320562454429664.5,329042007044036.44,0.58,410041670878709.5,65.86711417540785,2.790084264427224e+17
wide_capped_medium,3000,0.005,128,3,40,0.8993718084694217,1.2276893559967461,10.691875951329209,1.5491627261333865,0.9633333333333334,1.646065303315735,58.49604745555353,90.9476612264286
wide_capped_large,5000,0.005,256,4,60,0.8030524981549254,1.0783373440792636,9.745988302500223,1.3907680054941711,0.996,1.386249220600532,56.63809628174448,114.92919566965855
focused_capped_large,5000,0.002,256,4,60,0.6947965647303108,0.9263478921197063,3.4834868895106803,1.218042319981107,0.998,1.3312004455080118,35.67476996097136,49.62442320047261
focused_capped_xlarge,7000,0.002,384,5,80,0.7346662660875024,0.9959776064580027,10.492574594613988,1.2762236611803486,0.9914285714285714,1.3219321360116745,35.35206073641388,50.67802147471525
