name,seed,selected_from_pilot,width,depth,epochs,lbfgs_epochs,test_stress_mae,test_stress_rmse,test_stress_max_abs,test_principal_mae,branch_accuracy,benchmark_mean_principal_mae,benchmark_worst_principal_mae,benchmark_worst_stress_max_abs
seed_1001,1001,pilot_02_w512_d8,512,8,280,8,0.9960425264978865,1.3842279487667162,29.777093210006186,1.7854964063971828,0.9968486070843313,1.5255100326533733,2.7066377034798905,6.78611977529377
seed_1002,1002,pilot_02_w512_d8,512,8,280,8,0.9959142681953913,1.380436564754303,24.45430115678353,1.7850348955881636,0.9965964956510778,1.52657569477416,2.70988209439946,6.840346650598946
seed_1003,1003,pilot_02_w512_d8,512,8,280,8,0.9950622794251773,1.3766330251907641,12.187121037336311,1.782927994864268,0.9968486070843313,1.5256253746057284,2.7067690091523797,6.78646214437336
seed_1004,1004,pilot_02_w512_d8,512,8,280,8,0.996260427067844,1.3808753096265058,23.69631318070931,1.7851605815130906,0.9958401613513173,1.525737724185403,2.7078455023202723,6.804645852564278
seed_1005,1005,pilot_02_w512_d8,512,8,280,8,0.997041003406526,1.382626743481684,21.269326486373373,1.7870631208263423,0.9973528299508383,1.5261649250724623,2.7070417504328637,6.816903428553047
seed_1006,1006,pilot_02_w512_d8,512,8,280,8,0.9955625301615734,1.379061762889344,15.647591867232748,1.7842204627544593,0.9965964956510778,1.5255866628811368,2.70698497459732,6.810278253076973
seed_1007,1007,pilot_02_w512_d8,512,8,280,8,0.9959627147401999,1.3770849715175546,11.566511753889046,1.7853509972263673,0.9971007185175847,1.5268946429048689,2.713967225186085,6.841414765833321
seed_1008,1008,pilot_02_w512_d8,512,8,280,8,0.9964428271524268,1.3822222444713723,26.708077707076498,1.785903138794066,0.9968486070843313,1.5262820029253654,2.712809326339087,6.873270349024239
seed_1009,1009,pilot_02_w512_d8,512,8,280,8,0.9961001252927802,1.3803007735664259,22.292855539107748,1.7852493528771227,0.9967225513677045,1.5264562714859173,2.7045716606557852,6.769951180933418
seed_1010,1010,pilot_02_w512_d8,512,8,280,8,0.9960735955111572,1.3766098192479332,9.422106388898811,1.7849351393418862,0.9973528299508383,1.5260059012424545,2.708691480782133,6.809715585230293
seed_1011,1011,pilot_02_w512_d8,512,8,280,8,0.9973845345055417,1.3814380558219905,20.95692566850228,1.7877918010708065,0.9973528299508383,1.5274149345770816,2.7126252982747765,6.827000932215157
seed_1012,1012,pilot_02_w512_d8,512,8,280,8,0.9948771404936512,1.374360781002194,10.12843445756478,1.7825984380656694,0.9971007185175847,1.5252192030109852,2.703522951814342,6.817109422205391
