epoch,lr,train_loss,val_loss,train_regression_mse,val_regression_mse,train_stress_mse,val_stress_mse,train_branch_loss,val_branch_loss,train_branch_accuracy,val_branch_accuracy
1,0.001,0.49947715747356414,0.26205428767204286,0.38068017923831937,0.18269324040412901,27.181270942687988,13.069593795776367,1.187969784259796,0.7936104865074157,0.5787500014305115,0.7999999690055847
2,0.001,0.1895302003622055,0.14469932270050048,0.1267375489473343,0.09660377901792526,8.86856997680664,6.776482635498047,0.6279264969825744,0.4809554579257965,0.8105000009536744,0.8319999814033509
3,0.001,0.12631819725036622,0.10099597835540772,0.08412549823522568,0.06450557452440261,5.766476421356201,4.347281021118164,0.42192697286605835,0.36490401649475096,0.85375,0.8759999794960022
4,0.001,0.10808634322881698,0.09343403232097626,0.07442863067984581,0.0642987539768219,5.068998138427735,4.350380584716797,0.3365771143436432,0.2913527834415436,0.8792500004768372,0.885999981880188
5,0.001,0.08998928940296173,0.0778623948097229,0.060810786962509154,0.05260736122727394,4.075022066116333,3.516876667022705,0.2917850255966187,0.2525503398180008,0.89075,0.9059999628067017
6,0.001,0.07604471576213837,0.0633772370815277,0.05056838265061379,0.04082578575611114,3.3366723976135253,2.6340381298065187,0.2547633203268051,0.22551448726654053,0.905,0.9219999871253968
7,0.001,0.07026877173781396,0.06777207410335541,0.04937062168121338,0.049732919037342074,3.2577263641357423,3.308943866729736,0.20898148930072785,0.18039155101776122,0.9280000004768372,0.9479999704360962
8,0.001,0.05891770702600479,0.0545904903113842,0.0412501328587532,0.04079363104701042,2.6331213970184324,2.6030595893859862,0.17667574203014375,0.13796857011318206,0.9327499995231628,0.9619999876022339
9,0.001,0.05525966596603393,0.049220785170793535,0.03918103131651878,0.036037822097539904,2.4771714782714844,2.274085536956787,0.16078634202480316,0.13182963627576827,0.9389999995231628,0.9539999656677246
10,0.001,0.04914366447925567,0.05951320081949234,0.03514008474349976,0.04427714565396309,2.1748649940490723,2.877191930770874,0.140035795211792,0.15236055129766465,0.9467500014305115,0.9439999752044678
11,0.001,0.05099984502792358,0.05765952014923096,0.037440325647592546,0.0446225900053978,2.3827110500335693,2.9304673137664796,0.13559519350528718,0.1303693088889122,0.94425,0.9559999632835389
12,0.001,0.05077217596769333,0.05002751585841179,0.038221745818853375,0.039319385409355166,2.4076292610168455,2.4989603939056395,0.1255042997598648,0.10708129340410233,0.9522500009536743,0.957999960899353
13,0.0005,0.053333502650260926,0.05884020906686783,0.039675586849451064,0.045092091232538226,2.5098327178955078,2.951625204086304,0.13657915461063386,0.13748118597269057,0.9492500014305115,0.9419999680519104
14,0.0005,0.03959668281674385,0.04466644662618637,0.02865079475939274,0.03393849939107895,1.7273023786544799,2.150549879074097,0.10945887821912766,0.10727946144342422,0.9597499995231629,0.957999960899353
15,0.0005,0.036475192934274675,0.039469292670488355,0.026151040494441988,0.030613876253366472,1.555583194732666,1.9100558223724364,0.10324152046442032,0.08855417144298554,0.9595000004768371,0.959999960899353
16,0.0005,0.032561668917536736,0.035638551354408264,0.02439536637067795,0.02757299852371216,1.4419324169158936,1.6886623086929322,0.0816630220413208,0.08065551686286926,0.9720000009536743,0.9739999828338624
17,0.0005,0.029708219528198243,0.037868718415498735,0.022366998225450515,0.028246852189302445,1.2883279695510865,1.7408018417358397,0.07341221159696579,0.09621866953372955,0.97225,0.9599999876022339
18,0.0005,0.03098424959182739,0.035566102206707,0.023199744895100592,0.0280592839717865,1.3470751161575318,1.7128455963134765,0.07784504461288452,0.07506818217039109,0.9717500014305115,0.9699999852180481
19,0.0005,0.03286155340075493,0.04388774654269218,0.02532484233379364,0.03613594073057175,1.509846152305603,2.3248666400909426,0.07536711096763611,0.07751805466413499,0.9715,0.9639999876022339
20,0.0005,0.03284369885921478,0.0409233224093914,0.025357926204800606,0.03321334600448608,1.5155945444107055,2.123119249343872,0.07485772335529327,0.07709975641965866,0.97125,0.9679999876022339
21,0.0005,0.03091514791548252,0.032956883460283276,0.023741772294044495,0.025893592461943626,1.4022717275619507,1.5690270109176636,0.07173376017808915,0.0706329120695591,0.9742500014305114,0.9759999852180481
22,0.0005,0.028825999438762663,0.03265363237261772,0.021600771754980087,0.025572067812085153,1.2416160440444945,1.5438922576904297,0.072252270758152,0.0708156550526619,0.9727500014305115,0.9739999852180481
23,0.0005,0.02813026365637779,0.03478602522611618,0.022081857815384864,0.02670801404118538,1.2769151468276978,1.6268460845947266,0.06048405587673187,0.08078011929988861,0.9795,0.9719999852180481
24,0.0005,0.026738797321915628,0.03298433297872543,0.02121833358705044,0.024504754424095155,1.215952043533325,1.4627396841049194,0.05520463678240776,0.08479579481482506,0.9807499995231629,0.9659999828338623
25,0.0005,0.027958548307418823,0.03669561183452606,0.02151244929432869,0.025854691132903097,1.231912652015686,1.5635471525192262,0.06446098661422729,0.10840920901298523,0.9745000004768372,0.9639999852180481
